,Taxonomy
ASV0001,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Rhodoplanes
ASV0085,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiales_Incertae_Sedis; Bauldia
ASV0086,Bacteria; Firmicutes; Syntrophomonadia; Syntrophomonadales; Syntrophomonadaceae; Syntrophomonas
ASV0087,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Chthoniobacterales; Xiphinematobacteraceae; Candidatus_Xiphinematobacter
ASV0088,Bacteria; Armatimonadota; uncultured; o; f; g
ASV0089,Bacteria; Proteobacteria; Gammaproteobacteria; Coxiellales; Coxiellaceae; Coxiella
ASV0090,Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Terrimonas
ASV0092,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Verrucomicrobiales; Verrucomicrobiaceae; Roseimicrobium
ASV0093,Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; g
ASV0094,Bacteria; Myxococcota; Myxococcia; Myxococcales; Anaeromyxobacteraceae; Anaeromyxobacter
ASV0095,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Pseudogracilibacillus
ASV0096,Bacteria; Acidobacteriota; Holophagae; Subgroup_7; f; g
ASV0097,Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Intrasporangiaceae; Tetrasphaera
ASV0098,Bacteria; Desulfobacterota; Syntrophorhabdia; Syntrophorhabdales; Syntrophorhabdaceae; Syntrophorhabdus
ASV0099,Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; uncultured; g
ASV0100,Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Arenimonas
ASV0101,Bacteria; Nitrospirota; Thermodesulfovibrionia; uncultured; f; g
ASV0102,Bacteria; Desulfobacterota; Syntrophobacteria; Syntrophobacterales; Syntrophobacteraceae; Syntrophobacter
ASV0103,Bacteria; Firmicutes; Limnochordia; Hydrogenispora; f; g
ASV0104,Bacteria; Chloroflexi; Anaerolineae; SBR1031; A4b; g
ASV0105,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidetes_vadinHA17; g
ASV0106,Bacteria; Firmicutes; Bacilli; Izemoplasmatales; f; g
ASV0107,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Chthoniobacterales; Chthoniobacteraceae; Candidatus_Udaeobacter
ASV0108,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Sutterellaceae; uncultured
ASV0109,Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; uncultured; g
ASV0110,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; B1_7BS; g
ASV0111,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; Pedosphaeraceae; uncultured
ASV0112,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Proteiniboraceae; Proteiniborus
ASV0114,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Delftia
ASV0115,Bacteria; Dependentiae; Babeliae; Babeliales; Vermiphilaceae; g
ASV0116,Bacteria; Myxococcota; Myxococcia; Myxococcales; Anaeromyxobacteraceae; Anaeromyxobacter
ASV0117,Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; uncultured; g
ASV0118,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiales_Incertae_Sedis; uncultured
ASV0119,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Hyphomicrobium
ASV0120,Bacteria; Acidobacteriota; Blastocatellia; Pyrinomonadales; Pyrinomonadaceae; RB41
ASV0121,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidetes_vadinHA17; g
ASV0122,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiales_Incertae_Sedis; Nordella
ASV0123,Bacteria; Chloroflexi; OLB14; o; f; g
ASV0124,Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Koribacteraceae; Candidatus_Koribacter
ASV0125,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Family_XI; Tissierella
ASV0126,Bacteria; Chloroflexi; Anaerolineae; SBR1031; f; g
ASV0128,Bacteria; Actinobacteriota; Thermoleophilia; Gaiellales; Gaiellaceae; Gaiella
ASV0129,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
ASV0130,Bacteria; Firmicutes; Clostridia; Oscillospirales; Hungateiclostridiaceae; uncultured
ASV0131,Bacteria; Myxococcota; Myxococcia; Myxococcales; Vulgatibacteraceae; Vulgatibacter
ASV0132,Bacteria; Firmicutes; Clostridia; Gracilibacteraceae; uncultured; g
ASV0133,Bacteria; Proteobacteria; Alphaproteobacteria; Defluviicoccales; Defluviicoccaceae; Defluviicoccus
ASV0134,Archaea; Crenarchaeota; Nitrososphaeria; Nitrososphaerales; Nitrososphaeraceae; g
ASV0135,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Anaerovoracaceae; uncultured
ASV0136,Bacteria; Chloroflexi; Anaerolineae; SBR1031; A4b; g
ASV0137,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Anaerovoracaceae; Anaerovorax
ASV0138,Bacteria; Actinobacteriota; Thermoleophilia; Gaiellales; Gaiellaceae; Gaiella
ASV0139,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; Christensenellaceae_R_7_group
ASV0140,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Leptolinea
ASV0141,Bacteria; Armatimonadota; Chthonomonadetes; Chthonomonadales; f; g
ASV0142,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Chthoniobacterales; Terrimicrobiaceae; Terrimicrobium
ASV0144,Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; uncultured
ASV0145,Bacteria; Firmicutes; Moorellia; Desulfitibacterales; Desulfitibacteraceae; Desulfitibacter
ASV0146,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Ramlibacter
ASV0147,Archaea; Halobacterota; Methanocellia; Methanocellales; Methanocellaceae; Methanocella
ASV0148,Bacteria; Armatimonadota; uncultured; o; f; g
ASV0149,Bacteria; Chloroflexi; Chloroflexia; Thermomicrobiales; JG30_KF_CM45; g
ASV0150,Bacteria; Chloroflexi; Anaerolineae; SBR1031; A4b; g
ASV0151,Bacteria; Zixibacteria; c; o; f; g
ASV0152,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; uncultured
ASV0153,Bacteria; Actinobacteriota; Actinobacteria; Propionibacteriales; Nocardioidaceae; Marmoricola
ASV0154,Bacteria; Bacteroidota; Bacteroidia; Cytophagales; Amoebophilaceae; Candidatus_Amoebophilus
ASV0155,Bacteria; Bacteroidota; Ignavibacteria; Ignavibacteriales; Melioribacteraceae; IheB3_7
ASV0156,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Anaerolinea
ASV0157,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Chthoniobacterales; Chthoniobacteraceae; Chthoniobacter
ASV0158,Bacteria; Planctomycetota; Phycisphaerae; Tepidisphaerales; WD2101_soil_group; g
ASV0159,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Chthoniobacterales; Chthoniobacteraceae; Candidatus_Udaeobacter
ASV0160,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Rhodoplanes
ASV0161,Bacteria; WS1; c; o; f; g
ASV0162,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; SB_5; g
ASV0163,Bacteria; Firmicutes; Clostridia; Oscillospirales; Hungateiclostridiaceae; Ruminiclostridium
ASV0164,Bacteria; Myxococcota; Myxococcia; Myxococcales; Anaeromyxobacteraceae; Anaeromyxobacter
ASV0165,Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Flavisolibacter
ASV0166,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Family_XI; Tissierella
ASV0167,Bacteria; Firmicutes; Syntrophomonadia; Syntrophomonadales; Syntrophomonadaceae; uncultured
ASV0168,Bacteria; Firmicutes; Clostridia; Oscillospirales; Hungateiclostridiaceae; Ruminiclostridium
ASV0169,Bacteria; Firmicutes; Desulfotomaculia; Desulfotomaculales; Desulfotomaculaceae; Desulfohalotomaculum
ASV0170,Bacteria; Armatimonadota; uncultured; o; f; g
ASV0171,Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Terrimonas
ASV0172,Bacteria; Chloroflexi; Anaerolineae; SJA_15; f; g
ASV0173,Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Koribacteraceae; Candidatus_Koribacter
ASV0174,Bacteria; Gemmatimonadota; Gemmatimonadetes; Gemmatimonadales; Gemmatimonadaceae; uncultured
ASV0175,Bacteria; Firmicutes; Clostridia; Proteinivoracales; uncultured; g
ASV0176,Bacteria; WPS_2; c; o; f; g
ASV0177,Bacteria; Firmicutes; Clostridia; Oscillospirales; Hungateiclostridiaceae; Ruminiclostridium
ASV0178,Bacteria; Fibrobacterota; Chitinivibrionia; uncultured; f; g
ASV0179,Bacteria; Firmicutes; Symbiobacteriia; Symbiobacteriales; Symbiobacteraceae; uncultured
ASV0181,Bacteria; Planctomycetota; Phycisphaerae; Tepidisphaerales; WD2101_soil_group; g
ASV0182,Bacteria; Myxococcota; Myxococcia; Myxococcales; Anaeromyxobacteraceae; Anaeromyxobacter
ASV0183,Bacteria; Armatimonadota; Chthonomonadetes; Chthonomonadales; f; g
ASV0184,Bacteria; Bdellovibrionota; Oligoflexia; 0319_6G20; f; g
ASV0185,Bacteria; Firmicutes; Clostridia; Caldicoprobacterales; Caldicoprobacteraceae; Caldicoprobacter
ASV0187,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Sedimentibacteraceae; Sedimentibacter
ASV0189,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Longilinea
ASV0190,Bacteria; Chloroflexi; Anaerolineae; SJA_15; f; g
ASV0191,Bacteria; Myxococcota; Polyangia; mle1_27; f; g
ASV0192,Bacteria; Gemmatimonadota; Gemmatimonadetes; Gemmatimonadales; Gemmatimonadaceae; uncultured
ASV0193,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; A0839; g
ASV0194,Bacteria; Firmicutes; Clostridia; Gracilibacteraceae; Gracilibacter; g
ASV0195,Bacteria; Firmicutes; Clostridia; Gracilibacteraceae; Lutispora; g
ASV0196,Bacteria; Patescibacteria; Parcubacteria; Candidatus_Kaiserbacteria; f; g
ASV0197,Bacteria; Chloroflexi; Anaerolineae; SBR1031; f; g
ASV0198,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; TRA3_20; g
ASV0199,Bacteria; Firmicutes; Clostridia; Oscillospirales; Hungateiclostridiaceae; Ruminiclostridium
ASV0200,Bacteria; Dependentiae; Babeliae; Babeliales; Vermiphilaceae; g
ASV0201,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Leptolinea
ASV0202,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; Pedosphaeraceae; ADurb_Bin063_1
ASV0203,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Sedimentibacteraceae; Sedimentibacter
ASV0204,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Cupriavidus
ASV0205,Bacteria; Planctomycetota; Phycisphaerae; MSBL9; SG8_4; g
ASV0206,Bacteria; Firmicutes; Symbiobacteriia; Symbiobacteriales; Symbiobacteraceae; uncultured
ASV0207,Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; uncultured
ASV0208,Bacteria; Myxococcota; Polyangia; Haliangiales; Haliangiaceae; Haliangium
ASV0209,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; Opitutus
ASV0210,Bacteria; Chloroflexi; Anaerolineae; SBR1031; A4b; g
ASV0211,Bacteria; Actinobacteriota; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Pseudonocardia
ASV0212,Bacteria; Chloroflexi; Anaerolineae; SBR1031; f; g
ASV0214,Bacteria; Planctomycetota; Phycisphaerae; Pla1_lineage; f; g
ASV0215,Bacteria; Desulfobacterota; Desulfuromonadia; Geobacterales; Geobacteraceae; uncultured
ASV0216,Bacteria; Firmicutes; Bacilli; Izemoplasmatales; f; g
ASV0217,Bacteria; Acidobacteriota; Blastocatellia; Pyrinomonadales; Pyrinomonadaceae; RB41
ASV0218,Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Tuzzerella
ASV0219,Bacteria; Chloroflexi; Anaerolineae; Ardenticatenales; uncultured; g
ASV0220,Bacteria; DTB120; c; o; f; g
ASV0221,Bacteria; Actinobacteriota; Coriobacteriia; OPB41; f; g
ASV0222,Bacteria; Patescibacteria; Microgenomatia; Candidatus_Woesebacteria; f; g
ASV0223,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Leptolinea
ASV0224,Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae_Subgroup_1_; uncultured
ASV0225,Bacteria; Firmicutes; Clostridia; Caldicoprobacterales; Caldicoprobacteraceae; Caldicoprobacter
ASV0226,Bacteria; Firmicutes; Symbiobacteriia; Symbiobacteriales; Symbiobacteraceae; uncultured
ASV0227,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; uncultured
ASV0228,Bacteria; Firmicutes; Bacilli; Paenibacillales; Paenibacillaceae; Cohnella
ASV0229,Bacteria; Firmicutes; Bacilli; Paenibacillales; Paenibacillaceae; Paenibacillus
ASV0230,Bacteria; Armatimonadota; Fimbriimonadia; Fimbriimonadales; Fimbriimonadaceae; g
ASV0232,Bacteria; Fibrobacterota; Chitinivibrionia; uncultured; f; g
ASV0233,Bacteria; Firmicutes; Bacilli; Paenibacillales; Paenibacillaceae; Cohnella
ASV0234,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; Pedosphaeraceae; g
ASV0235,Bacteria; Actinobacteriota; Coriobacteriia; OPB41; f; g
ASV0236,Bacteria; Proteobacteria; Gammaproteobacteria; JG36_GS_52; f; g
ASV0237,Bacteria; Actinobacteriota; Actinobacteria; Propionibacteriales; Nocardioidaceae; Nocardioides
ASV0238,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium_sensu_stricto_10
ASV0239,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; uncultured
ASV0240,Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Legionellaceae; Legionella
ASV0241,Bacteria; Firmicutes; Bacilli; Brevibacillales; Brevibacillaceae; Brevibacillus
ASV0242,Bacteria; Acidobacteriota; Acidobacteriae; Solibacterales; Solibacteraceae; Candidatus_Solibacter
ASV0243,Bacteria; Firmicutes; Symbiobacteriia; Symbiobacteriales; Symbiobacteraceae; uncultured
ASV0244,Bacteria; Planctomycetota; Phycisphaerae; Tepidisphaerales; WD2101_soil_group; g
ASV0245,Bacteria; Firmicutes; Desulfotomaculia; Desulfotomaculales; Desulfotomaculales_Incertae_Sedis; uncultured
ASV0246,Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; 67_14; g
ASV0247,Bacteria; Firmicutes; Desulfitobacteriia; Desulfitobacteriales; SyntrophobASVlaceae; Dehalobacter
ASV0249,Bacteria; Firmicutes; Incertae_Sedis; Gelria; f; g
ASV0250,Bacteria; Bacteroidota; Bacteroidia; Cytophagales; Microscillaceae; uncultured
ASV0251,Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium
ASV0252,Bacteria; Firmicutes; Clostridia; Gracilibacteraceae; Gracilibacter; g
ASV0253,Bacteria; Chloroflexi; Chloroflexia; Thermomicrobiales; JG30_KF_CM45; g
ASV0254,Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Microbacteriaceae; Lysinimonas
ASV0255,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Rhodocyclaceae; Azoarcus
ASV0256,Bacteria; Chloroflexi; Anaerolineae; SBR1031; A4b; g
ASV0257,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Pseudolabrys
ASV0258,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Rhodocyclaceae; Ferribacterium
ASV0259,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; uncultured
ASV0260,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Sedimentibacteraceae; Sedimentibacter
ASV0261,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV0262,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Pseudolabrys
ASV0263,Bacteria; Actinobacteriota; Thermoleophilia; Gaiellales; Gaiellaceae; Gaiella
ASV0264,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia
ASV0265,Bacteria; Acidobacteriota; Blastocatellia; 11_24; f; g
ASV0266,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; RBG_16_58_14
ASV0267,Bacteria; Firmicutes; Clostridia; Gracilibacteraceae; Gracilibacter; g
ASV0268,Bacteria; Actinobacteriota; Thermoleophilia; Gaiellales; uncultured; g
ASV0269,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiales_Incertae_Sedis; Bauldia
ASV0270,Bacteria; Firmicutes; Thermoanaerobacteria; Thermoanaerobacterales; SRB2; g
ASV0271,Bacteria; Bacteroidota; Ignavibacteria; Ignavibacteriales; BSV40; g
ASV0272,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Family_XI; Parvimonas
ASV0273,Bacteria; Actinobacteriota; MB_A2_108; o; f; g
ASV0274,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium_sensu_stricto_13
ASV0275,Bacteria; Planctomycetota; Phycisphaerae; Tepidisphaerales; WD2101_soil_group; g
ASV0276,Bacteria; Armatimonadota; uncultured; o; f; g
ASV0277,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Hyphomicrobium
ASV0278,Bacteria; Firmicutes; Desulfotomaculia; Desulfotomaculales; Desulfotomaculales_Incertae_Sedis; Desulfallas_Sporotomaculum
ASV0279,Bacteria; Verrucomicrobiota; Chlamydiae; Chlamydiales; Parachlamydiaceae; Neochlamydia
ASV0280,Bacteria; Firmicutes; Desulfotomaculia; Desulfotomaculales; Desulfotomaculales_Incertae_Sedis; Desulfallas_Sporotomaculum
ASV0281,Bacteria; Proteobacteria; Gammaproteobacteria; JG36_GS_52; f; g
ASV0282,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Ramlibacter
ASV0283,Bacteria; Firmicutes; Clostridia; Gracilibacteraceae; Lutispora; g
ASV0284,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Variovorax
